,1789_Washington_Inaugural_Address,1793_Washington_Inaugural_Address,1801_Jefferson_Inaugural_Address,1805_Jefferson_Inaugural_Address,1809_Madison_Inaugural_Address,1813_Madison_Inaugural_Address,1817_Monroe_Inaugural_Address,1821_Monroe_Inaugural_Address,1825_Adams_Inaugural_Address,1829_Jackson_Inaugural_Address,1833_Jackson_Inaugural_Address,1837_Buren_Inaugural_Address,1841_Harrison_Inaugural_Address,1841_Tyler_Address_Upon_Assuming_the_Office,1845_Polk_Inaugural_Address,1849_Taylor_Inaugural_Address,1853_Pierce_Inaugural_Address,1857_Buchanan_Inaugural_Address,1861_Lincoln_Inaugural_Address,1865_Johnson_Address_Upon_Assuming_the_Office,1865_Lincoln_Inaugural_Address,1869_Grant_Inaugural_Address,1873_Grant_Inaugural_Address,1877_Hayes_Inaugural_Address,1881_Arthur_Address_Upon_Assuming_the_Office,1881_Garfield_Inaugural_Address,1885_Cleveland_Inaugural_Address,1889_Harrison_Inaugural_Address,1893_Cleveland_Inaugural_Address,1897_McKinley_Inaugural_Address,1901_McKinley_Inaugural_Address,1905_Roosevelt_Inaugural_Address,1909_Taft_Inaugural_Address,1913_Wilson_Inaugural_Address,1917_Wilson_Inaugural_Address,1921_Harding_Inaugural_Address,1925_Coolidge_Inaugural_Address,1929_Hoover_Inaugural_Address,1933_Roosevelt_Inaugural_Address,1937_Roosevelt_Inaugural_Address,1941_Roosevelt_Third_Inaugural_Address,1945_Roosevelt_Inaugural_Address,1949_Truman_Inaugural_Address,1953_Eisenhower_Inaugural_Address,1957_Eisenhower_Second_Inaugural_Address,1961_Kennedy_Inaugural_Address,1965_Johnson_The_President,1969_Nixon_Inaugural_Address,1973_Nixon_Oath_of_Office_and_Second,1977_Carter_Inaugural_Address,1981_Reagan_Inaugural_Address,1985_Reagan_Inaugural_Address,1989_Bush_Inaugural_Address,1993_Clinton_Inaugural_Address,1997_Clinton_Inaugural_Address,2001_Bush_Inaugural_Address,2005_Bush_Inaugural_Address,2009_Obama_Inaugural_Address,2013_Obama_Inaugural_Address,2017_Trump_Inaugural_Address,2021_Biden_Inaugural_Address
avg_tree_edit_dist_adjacent,138.22727272727272,79.0,110.225,113.06818181818181,138.95,75.28125,59.86065573770492,75.00769230769231,78.65333333333334,94.625,75.3,88.63917525773196,88.36150234741784,87.23809523809524,66.55263157894737,106.80952380952381,67.07619047619048,66.88636363636364,59.40875912408759,45.8125,60.73076923076923,61.41025641025641,73.42857142857143,88.43103448275862,72.61538461538461,53.945454545454545,75.27272727272727,58.256410256410255,66.2280701754386,64.67692307692307,48.55555555555556,66.875,74.54430379746836,65.40298507462687,62.258620689655174,48.10738255033557,42.79081632653061,45.34090909090909,46.49411764705882,38.15625,41.63768115942029,43.88,37.957264957264954,41.864,37.0,59.48076923076923,35.01030927835052,46.05769230769231,56.0,53.735849056603776,42.54330708661417,47.624,34.08163265306123,40.34065934065934,42.018348623853214,34.78947368421053,42.69387755102041,45.256410256410255,51.02247191011236,35.06741573033708,38.359756097560975
avg_node_depth,12.68111254851229,9.061224489795919,12.248194014447884,9.795397489539749,15.44391785150079,8.917241379310346,8.083265747499324,8.590918346568927,9.365019011406844,9.509884678747941,8.926274509803921,8.512556804592203,9.877397558849172,9.657488986784141,8.572138352761323,9.52027027027027,8.889677771709449,8.907920154539601,7.663869693978282,8.358778625954198,8.479591836734693,7.918416801292407,11.272850372376439,10.160058737151248,7.607142857142857,7.58196974374807,9.157002188183807,8.080050558247313,8.805970149253731,8.466788404473865,7.677655677655678,8.534309240622141,9.34433800889497,10.286389910667367,10.325060532687651,7.226304579339723,7.156615661566157,7.477310525065336,7.612638687891944,7.177953534354918,7.329252577319588,7.5453125,7.3438985736925515,7.049619703006157,6.13459516298633,7.760233918128655,6.2610981308411215,7.244114002478315,8.688109161793372,8.330674401740392,7.079314040728832,7.693559322033899,6.292101341281669,6.729257641921397,6.711011051985264,6.118746564046179,6.437902879243661,6.998153618906942,7.800508259212198,6.229216152019003,6.655635648754915
max_node_depth,50,23,64,31,80,26,28,36,37,25,24,31,49,34,29,24,32,27,33,20,26,22,71,35,18,22,27,23,28,25,27,27,32,49,62,21,30,25,25,21,21,21,20,20,18,27,17,21,27,41,23,23,25,19,23,17,16,19,21,16,20
avg_node_clause_depth,2.4573091849935316,1.6598639455782314,1.826625386996904,2.0510460251046023,2.221169036334913,1.767816091954023,1.7201946472019465,1.7318265119120342,1.6536755386565272,1.9621087314662273,1.7349019607843137,1.801243721597704,2.0170008718395813,1.9377753303964758,1.7435505446206765,2.0219594594594597,1.7987438558164937,1.9133934320669672,1.6475814412635736,1.8091603053435115,2.0191326530612246,1.697092084006462,1.7610020311442112,2.0157856093979443,1.5525210084033614,1.5906143871565297,1.7303063457330417,1.6918053507478408,1.861473880597015,1.7331659438484364,1.5954415954415955,1.685269899359561,1.8258638385220665,2.088281660535996,1.8886198547215496,1.536741214057508,1.6003600360036003,1.4720836303159897,1.5108538350217078,1.6070192782995552,1.5908505154639174,1.63125,1.580824088748019,1.6551973922491852,1.3501577287066246,1.8317089018843404,1.5157710280373833,1.728624535315985,2.215399610136452,1.674401740391588,1.5809217577706323,1.7006779661016949,1.4597615499254843,1.5562227074235808,1.4858780188293081,1.4200109950522264,1.451654490760636,1.5790251107828657,1.8242270224481152,1.3159144893111638,1.552096985583224
max_node_clause_depth,8,4,6,6,9,5,6,6,4,5,6,7,8,6,5,5,6,6,9,4,5,5,6,9,4,5,5,5,5,6,6,5,7,7,5,6,5,4,5,5,5,5,6,5,4,5,5,6,6,5,5,6,6,6,5,5,4,6,5,4,5
avg_clause_length,55.31944444444444,30.8,40.84,45.280155642023345,64.78888888888889,40.62608695652174,32.24935732647815,36.5375,48.093333333333334,39.93805309734513,41.07339449541284,38.5,43.03128621089223,42.629629629629626,37.06471816283925,48.03508771929825,38.002941176470586,37.56,31.728506787330318,27.692307692307693,31.48076923076923,31.482993197278912,35.99315068493151,46.86425339366516,31.488888888888887,33.19397993311037,43.23741007194245,34.24835164835165,35.33777777777778,37.69230769230769,30.745247148288975,31.1231884057971,38.63368055555556,36.200934579439256,36.46060606060606,27.635955056179775,25.945075757575758,31.736986301369864,28.00873362445415,26.854166666666668,28.133757961783438,26.253164556962027,27.037735849056602,28.77854671280277,23.778846153846153,29.544444444444444,22.75598086124402,25.41065830721003,33.73517786561265,28.654545454545456,24.602857142857143,27.1994459833795,20.77545691906005,22.837606837606838,26.11740890688259,22.28828828828829,25.25461254612546,24.588785046728972,27.95945945945946,22.345,23.0
clauses_per_sent,6.260869565217392,3.75,4.2682926829268295,5.711111111111111,4.285714285714286,3.484848484848485,3.16260162601626,3.66412213740458,2.960526315789474,4.52,3.5161290322580645,4.510204081632653,4.0327102803738315,3.7674418604651163,3.130718954248366,5.181818181818182,3.207547169811321,3.3707865168539324,3.2028985507246377,3.0588235294117645,3.8518518518518516,3.675,3.395348837209302,3.7457627118644066,3.2142857142857144,2.6936936936936937,3.088888888888889,2.8980891719745223,3.8793103448275863,3.0763358778625953,2.63,4.181818181818182,3.6226415094339623,3.1470588235294117,2.7966101694915255,2.966666666666667,2.6802030456852792,2.062146892655367,2.6627906976744184,2.4742268041237114,2.242857142857143,3.0384615384615383,2.2457627118644066,2.2936507936507935,2.260869565217391,3.3962264150943398,2.13265306122449,3.038095238095238,3.6142857142857143,3.0555555555555554,2.734375,2.865079365079365,2.5878378378378377,2.5434782608695654,2.2454545454545456,2.3125,2.7373737373737375,2.7203389830508473,3.2888888888888888,2.2222222222222223,2.3454545454545452
sbars_per_sent,3.3043478260869565,2.25,1.9024390243902438,2.3333333333333335,1.5714285714285714,1.121212121212121,1.024390243902439,1.4045801526717556,1.0263157894736843,1.96,1.1290322580645162,1.5408163265306123,1.5186915887850467,1.302325581395349,1.0,1.5909090909090908,1.3867924528301887,1.1573033707865168,1.173913043478261,1.1764705882352942,1.4074074074074074,1.175,1.069767441860465,1.576271186440678,0.7142857142857143,0.8378378378378378,1.2666666666666666,0.9745222929936306,1.6896551724137931,0.9618320610687023,0.7,1.696969696969697,1.1886792452830188,1.0294117647058822,1.1355932203389831,0.6133333333333333,0.9035532994923858,0.672316384180791,0.813953488372093,0.6288659793814433,0.8428571428571429,1.1153846153846154,0.7372881355932204,0.5793650793650794,0.5434782608695652,1.0566037735849056,0.7346938775510204,1.0476190476190477,1.4,1.0555555555555556,0.828125,0.7619047619047619,0.7094594594594594,0.8478260869565217,0.5454545454545454,0.7083333333333334,0.7474747474747475,1.1016949152542372,1.3555555555555556,0.4111111111111111,0.7272727272727273
pronouns_per_sent,4.695652173913044,3.25,3.5365853658536586,4.7555555555555555,3.5714285714285716,2.8181818181818183,2.138211382113821,2.3587786259541983,2.026315789473684,3.76,3.161290322580645,3.2551020408163267,2.532710280373832,2.4651162790697674,2.241830065359477,3.6363636363636362,2.518867924528302,1.8202247191011236,1.7536231884057971,1.8235294117647058,1.4074074074074074,2.25,2.441860465116279,2.1864406779661016,1.7857142857142858,1.5405405405405406,2.2666666666666666,1.7006369426751593,3.0,1.7786259541984732,1.8,2.8181818181818183,1.79874213836478,2.1470588235294117,2.9661016949152543,1.8066666666666666,1.5126903553299493,1.497175141242938,1.8372093023255813,1.577319587628866,1.4857142857142858,2.576923076923077,1.4576271186440677,1.6587301587301588,1.6195652173913044,2.056603773584906,1.5918367346938775,1.9714285714285715,2.4,2.4444444444444446,2.0625,1.9047619047619047,1.5067567567567568,1.9130434782608696,1.7,1.8020833333333333,1.707070707070707,2.0338983050847457,2.433333333333333,1.788888888888889,1.9212121212121211
pronouns_per_clause,0.75,0.8666666666666667,0.8285714285714286,0.8326848249027238,0.8333333333333334,0.808695652173913,0.6760925449871465,0.64375,0.6844444444444444,0.831858407079646,0.8990825688073395,0.7217194570135747,0.6280417149478563,0.654320987654321,0.7160751565762005,0.7017543859649122,0.7852941176470588,0.54,0.5475113122171946,0.5961538461538461,0.36538461538461536,0.6122448979591837,0.7191780821917808,0.583710407239819,0.5555555555555556,0.5719063545150501,0.7338129496402878,0.5868131868131868,0.7733333333333333,0.5781637717121588,0.6844106463878327,0.6739130434782609,0.4965277777777778,0.6822429906542056,1.0606060606060606,0.6089887640449438,0.5643939393939394,0.726027397260274,0.6899563318777293,0.6375,0.6624203821656051,0.8481012658227848,0.6490566037735849,0.7231833910034602,0.7163461538461539,0.6055555555555555,0.7464114832535885,0.6489028213166145,0.6640316205533597,0.8,0.7542857142857143,0.6648199445983379,0.5822454308093995,0.7521367521367521,0.757085020242915,0.7792792792792793,0.6236162361623616,0.7476635514018691,0.7398648648648649,0.805,0.8191214470284238
