,date,year,pres_name,byline,title,benepar_analysis_time,spacy_analysis_time,tree_edit_distance_time,total_file_analysis_time,num_tokens,num_sentences,avg_tree_edit_dist_adjacent,avg_node_depth,max_node_depth,avg_node_clause_depth,max_node_clause_depth,avg_max_clause_depth,avg_clause_length,clauses_per_sent,sbars_per_sent,pronouns_per_sent,pronouns_per_clause,pronoun_prop_of_leaf_nps,avg_num_np_modifiers,loose_parataxis_per_sent,root_parataxis_per_sent_strict,root_parataxis_per_sent_loose,num_unk,num_words,avg_dependency_distance,max_dependency_distance,avg_sentence_length_by_tok,avg_sentence_length_by_word,avg_words_before_root,num_uniq_words,proportion_uniq,stop_words_per_clause,stop_words_per_sentence,avg_aoa_min,avg_aoa_uniq_min,avg_stopless_aoa_min,avg_stopless_aoa_uniq_min,avg_word_freq,avg_word_freq_uniq,avg_word_freq_stopless,avg_word_freq_stopless_uniq
1789_Washington_Inaugural_Address,1789-04-30,1789,George Washington,1st President of the United States: 1789 ‐ 1797,Inaugural Address,0.01021549990400672,0.5131444000871852,17.322334600030445,29.89904790010769,1546,23,138.22727272727272,12.68111254851229,50,2.4573091849935316,8,3.5652173913043477,55.31944444444444,6.260869565217392,3.3043478260869565,4.695652173913044,0.75,0.31486880466472306,5.101851851851852,1.391304347826087,1.0,1.173913043478261,2,1434,3.5564853556485354,82,67.21739130434783,62.34782608695652,13.478260869565217,593,0.4158485273492286,5.923611111111111,37.08695652173913,6.201091344250365,8.117487323792485,8.61668662,8.836811844943819,6791.014007567938,835.0980727333671,94.66447278211983,76.63835837365247
1793_Washington_Inaugural_Address,1793-03-04,1793,George Washington,1st President of the United States: 1789 ‐ 1797,Inaugural Address,0.005271299974992871,0.34238839999306947,0.4124218000797555,1.8404036000138149,147,4,79.0,9.061224489795919,23,1.6598639455782314,4,2.5,30.8,3.75,2.25,3.25,0.8666666666666667,0.35135135135135137,4.111111111111111,1.0,1.0,1.0,0,135,3.066666666666667,46,36.75,33.75,16.5,90,0.6666666666666666,5.266666666666667,19.75,6.050308873015872,6.915938049382717,8.5754675,8.522199468085105,8143.489025460932,2832.0169640890063,78.1005347593583,75.29638009049775
1801_Jefferson_Inaugural_Address,1801-03-04,1801,Thomas Jefferson,3rd President of the United States: 1801 ‐ 1809,Inaugural Address,0.0032393999863415956,0.1117687999503687,13.602941900026053,28.036480900016613,1938,41,110.225,12.248194014447884,64,1.826625386996904,6,2.8048780487804876,40.84,4.2682926829268295,1.9024390243902438,3.5365853658536586,0.8285714285714286,0.31385281385281383,7.4387895460797795,1.170731707317073,1.024390243902439,1.146341463414634,0,1732,3.712471131639723,167,47.26829268292683,42.24390243902439,10.585365853658537,676,0.3930232558139535,5.765714285714286,24.609756097560975,5.986808925311204,7.635300657407407,7.9459208616262496,8.231237614942533,6758.261282200271,807.5322381204736,185.01345636293735,122.22477283596366
1805_Jefferson_Inaugural_Address,1805-03-04,1805,Thomas Jefferson,3rd President of the United States: 1801 ‐ 1809,Inaugural Address,0.010111099923960865,0.5438466001069173,19.392745100078173,37.37098699994385,2390,45,113.06818181818181,9.795397489539749,31,2.0510460251046023,6,2.9555555555555557,45.280155642023345,5.711111111111111,2.3333333333333335,4.7555555555555555,0.8326848249027238,0.3715277777777778,3.630434782608696,1.8666666666666667,1.1777777777777778,1.3333333333333333,0,2168,3.1983394833948338,100,53.111111111111114,48.17777777777778,17.4,776,0.358264081255771,4.926070038910506,28.133333333333333,6.088372566218811,7.799638192572216,8.13219773364486,8.345264789297659,6195.081098112277,706.4157894736844,124.50747229809247,96.62165058949623
1809_Madison_Inaugural_Address,1809-03-04,1809,James Madison,4th President of the United States: 1809 ‐ 1817,Inaugural Address,0.008242900017648935,0.355169799993746,12.572601899970323,23.799028599984013,1266,21,138.95,15.44391785150079,80,2.221169036334913,9,2.9523809523809526,64.78888888888889,4.285714285714286,1.5714285714285714,3.5714285714285716,0.8333333333333334,0.2697841726618705,7.329670329670329,1.2380952380952381,1.2380952380952381,1.2380952380952381,1,1177,3.602378929481733,289,60.285714285714285,56.04761904761905,30.761904761904763,521,0.44265080713678845,7.766666666666667,33.285714285714285,6.1964860721831,8.045222748490948,8.648002701525055,8.822100140306125,7068.109023626529,857.6130592042645,85.90457793286807,82.53609403960587
1813_Madison_Inaugural_Address,1813-03-04,1813,James Madison,4th President of the United States: 1809 ‐ 1817,Inaugural Address,0.004195099929347634,0.1944004000397399,6.9608590999851,16.847380400053225,1305,33,75.28125,8.917241379310346,26,1.767816091954023,5,2.4242424242424243,40.62608695652174,3.484848484848485,1.121212121212121,2.8181818181818183,0.808695652173913,0.3152542372881356,3.616252821670429,1.2727272727272727,1.0,1.121212121212121,0,1211,2.7489677952105698,38,39.54545454545455,36.696969696969695,7.242424242424242,516,0.4267990074441687,6.173913043478261,21.515151515151516,6.120732086844369,7.849157997979797,8.388003177083334,8.53178756641604,6496.100586112879,860.7724560179801,98.96633521025521,94.73041654472735
1817_Monroe_Inaugural_Address,1817-03-04,1817,James Monroe,5th President of the United States: 1817 ‐ 1825,Inaugural Address,0.004088700050488114,0.17025689990259707,7.522298900061287,29.083625499974005,3699,123,59.86065573770492,8.083265747499324,28,1.7201946472019465,6,2.227642276422764,32.24935732647815,3.16260162601626,1.024390243902439,2.138211382113821,0.6760925449871465,0.3207317073170732,3.2985581000848176,1.2357723577235773,1.048780487804878,1.1626016260162602,0,3380,2.6928994082840236,82,30.073170731707318,27.479674796747968,7.975609756097561,973,0.28855278766310793,5.120822622107969,16.195121951219512,6.051201401843316,8.050077591703058,8.13995526228269,8.53953270489691,6550.070250770929,510.1850337645431,101.54103702438891,69.24236065890068
1821_Monroe_Inaugural_Address,1821-03-04,1821,James Monroe,5th President of the United States: 1817 ‐ 1825,Inaugural Address,0.0021652000723406672,0.09406849998049438,13.685186099959537,29.869521099957637,4911,131,75.00769230769231,8.590918346568927,36,1.7318265119120342,6,2.4732824427480917,36.5375,3.66412213740458,1.4045801526717556,2.3587786259541983,0.64375,0.2781278127812781,3.7075413856529735,1.297709923664122,1.0381679389312977,1.1603053435114503,0,4479,2.981245813797723,72,37.48854961832061,34.19083969465649,11.251908396946565,1184,0.2660674157303371,5.55625,20.358778625954198,6.0595452367864695,8.20515728623519,8.279893673822302,8.661103019067795,6396.639563133551,465.864574939565,106.46099899813936,58.91338567299432
1825_Adams_Inaugural_Address,1825-03-04,1825,John Quincy Adams,6th President of the United States: 1825 ‐ 1829,Inaugural Address,0.004077100078575313,0.27550000010523945,13.468726900056936,28.8641440999927,3156,76,78.65333333333334,9.365019011406844,37,1.6536755386565272,4,2.0657894736842106,48.093333333333334,2.960526315789474,1.0263157894736843,2.026315789473684,0.6844444444444444,0.2,4.283458021612635,1.236842105263158,1.118421052631579,1.1578947368421053,2,2917,2.9187521426122727,64,41.526315789473685,38.38157894736842,15.855263157894736,948,0.32768752160387143,7.44,22.026315789473685,6.234335088464258,8.324292439106147,8.557692253153908,8.845341664921467,7142.021614037941,551.2759920382841,69.82246865959497,49.02675601886324
1829_Jackson_Inaugural_Address,1829-03-04,1829,Andrew Jackson,7th President of the United States: 1829 ‐ 1837,Inaugural Address,0.00371439999435097,0.15223399992100894,3.5230029000667855,9.244988299906254,1214,25,94.625,9.509884678747941,25,1.9621087314662273,5,3.16,39.93805309734513,4.52,1.96,3.76,0.831858407079646,0.3443223443223443,4.310185185185185,1.08,1.0,1.08,2,1128,2.905141843971631,54,48.56,45.12,15.56,499,0.4427684117125111,5.646017699115045,25.52,6.314178898630136,8.178635934599157,8.650704429487181,8.854345795336787,7154.225797391472,812.3901519708087,79.72876499242703,60.81121866468108
