,1789_Washington_Inaugural_Address,1793_Washington_Inaugural_Address,1801_Jefferson_Inaugural_Address,1805_Jefferson_Inaugural_Address,1809_Madison_Inaugural_Address,1813_Madison_Inaugural_Address,1817_Monroe_Inaugural_Address,1821_Monroe_Inaugural_Address,1825_Adams_Inaugural_Address,1829_Jackson_Inaugural_Address,1833_Jackson_Inaugural_Address,1837_Buren_Inaugural_Address,1841_Harrison_Inaugural_Address,1841_Tyler_Address_Upon_Assuming_the_Office,1845_Polk_Inaugural_Address,1849_Taylor_Inaugural_Address,1853_Pierce_Inaugural_Address,1857_Buchanan_Inaugural_Address,1861_Lincoln_Inaugural_Address,1865_Johnson_Address_Upon_Assuming_the_Office,1865_Lincoln_Inaugural_Address,1869_Grant_Inaugural_Address,1873_Grant_Inaugural_Address,1877_Hayes_Inaugural_Address,1881_Arthur_Address_Upon_Assuming_the_Office,1881_Garfield_Inaugural_Address,1885_Cleveland_Inaugural_Address,1889_Harrison_Inaugural_Address,1893_Cleveland_Inaugural_Address,1897_McKinley_Inaugural_Address,1901_McKinley_Inaugural_Address,1905_Roosevelt_Inaugural_Address,1909_Taft_Inaugural_Address,1913_Wilson_Inaugural_Address,1917_Wilson_Inaugural_Address,1921_Harding_Inaugural_Address,1925_Coolidge_Inaugural_Address,1929_Hoover_Inaugural_Address,1933_Roosevelt_Inaugural_Address,1937_Roosevelt_Inaugural_Address,1941_Roosevelt_Third_Inaugural_Address,1945_Roosevelt_Inaugural_Address,1949_Truman_Inaugural_Address,1953_Eisenhower_Inaugural_Address,1957_Eisenhower_Second_Inaugural_Address,1961_Kennedy_Inaugural_Address,1965_Johnson_The_President,1969_Nixon_Inaugural_Address,1973_Nixon_Oath_of_Office_and_Second,1977_Carter_Inaugural_Address,1981_Reagan_Inaugural_Address,1985_Reagan_Inaugural_Address,1989_Bush_Inaugural_Address,1993_Clinton_Inaugural_Address,1997_Clinton_Inaugural_Address,2001_Bush_Inaugural_Address,2005_Bush_Inaugural_Address,2009_Obama_Inaugural_Address,2013_Obama_Inaugural_Address,2017_Trump_Inaugural_Address,2021_Biden_Inaugural_Address
max_node_clause_depth,8,4,6,6,9,5,6,6,4,5,6,7,8,6,5,5,6,6,9,4,5,5,6,9,4,5,5,5,5,6,6,5,7,7,5,6,5,4,5,5,5,5,6,5,4,5,5,6,6,5,5,6,6,6,5,5,4,6,5,4,5
avg_clause_length,55.31944444444444,30.8,40.84,45.280155642023345,64.78888888888889,40.62608695652174,32.24935732647815,36.5375,48.093333333333334,39.93805309734513,41.07339449541284,38.5,43.03128621089223,42.629629629629626,37.06471816283925,48.03508771929825,38.002941176470586,37.56,31.728506787330318,27.692307692307693,31.48076923076923,31.482993197278912,35.99315068493151,46.86425339366516,31.488888888888887,33.19397993311037,43.23741007194245,34.24835164835165,35.33777777777778,37.69230769230769,30.745247148288975,31.1231884057971,38.63368055555556,36.200934579439256,36.46060606060606,27.635955056179775,25.945075757575758,31.736986301369864,28.00873362445415,26.854166666666668,28.133757961783438,26.253164556962027,27.037735849056602,28.77854671280277,23.778846153846153,29.544444444444444,22.75598086124402,25.41065830721003,33.73517786561265,28.654545454545456,24.602857142857143,27.1994459833795,20.77545691906005,22.837606837606838,26.11740890688259,22.28828828828829,25.25461254612546,24.588785046728972,27.95945945945946,22.345,23.0
clauses_per_sent,6.260869565217392,3.75,4.2682926829268295,5.711111111111111,4.285714285714286,3.484848484848485,3.16260162601626,3.66412213740458,2.960526315789474,4.52,3.5161290322580645,4.510204081632653,4.0327102803738315,3.7674418604651163,3.130718954248366,5.181818181818182,3.207547169811321,3.3707865168539324,3.2028985507246377,3.0588235294117645,3.8518518518518516,3.675,3.395348837209302,3.7457627118644066,3.2142857142857144,2.6936936936936937,3.088888888888889,2.8980891719745223,3.8793103448275863,3.0763358778625953,2.63,4.181818181818182,3.6226415094339623,3.1470588235294117,2.7966101694915255,2.966666666666667,2.6802030456852792,2.062146892655367,2.6627906976744184,2.4742268041237114,2.242857142857143,3.0384615384615383,2.2457627118644066,2.2936507936507935,2.260869565217391,3.3962264150943398,2.13265306122449,3.038095238095238,3.6142857142857143,3.0555555555555554,2.734375,2.865079365079365,2.5878378378378377,2.5434782608695654,2.2454545454545456,2.3125,2.7373737373737375,2.7203389830508473,3.2888888888888888,2.2222222222222223,2.3454545454545452
sbars_per_sent,3.3043478260869565,2.25,1.9024390243902438,2.3333333333333335,1.5714285714285714,1.121212121212121,1.024390243902439,1.4045801526717556,1.0263157894736843,1.96,1.1290322580645162,1.5408163265306123,1.5186915887850467,1.302325581395349,1.0,1.5909090909090908,1.3867924528301887,1.1573033707865168,1.173913043478261,1.1764705882352942,1.4074074074074074,1.175,1.069767441860465,1.576271186440678,0.7142857142857143,0.8378378378378378,1.2666666666666666,0.9745222929936306,1.6896551724137931,0.9618320610687023,0.7,1.696969696969697,1.1886792452830188,1.0294117647058822,1.1355932203389831,0.6133333333333333,0.9035532994923858,0.672316384180791,0.813953488372093,0.6288659793814433,0.8428571428571429,1.1153846153846154,0.7372881355932204,0.5793650793650794,0.5434782608695652,1.0566037735849056,0.7346938775510204,1.0476190476190477,1.4,1.0555555555555556,0.828125,0.7619047619047619,0.7094594594594594,0.8478260869565217,0.5454545454545454,0.7083333333333334,0.7474747474747475,1.1016949152542372,1.3555555555555556,0.4111111111111111,0.7272727272727273
pronouns_per_sent,4.695652173913044,3.25,3.5365853658536586,4.7555555555555555,3.5714285714285716,2.8181818181818183,2.138211382113821,2.3587786259541983,2.026315789473684,3.76,3.161290322580645,3.2551020408163267,2.532710280373832,2.4651162790697674,2.241830065359477,3.6363636363636362,2.518867924528302,1.8202247191011236,1.7536231884057971,1.8235294117647058,1.4074074074074074,2.25,2.441860465116279,2.1864406779661016,1.7857142857142858,1.5405405405405406,2.2666666666666666,1.7006369426751593,3.0,1.7786259541984732,1.8,2.8181818181818183,1.79874213836478,2.1470588235294117,2.9661016949152543,1.8066666666666666,1.5126903553299493,1.497175141242938,1.8372093023255813,1.577319587628866,1.4857142857142858,2.576923076923077,1.4576271186440677,1.6587301587301588,1.6195652173913044,2.056603773584906,1.5918367346938775,1.9714285714285715,2.4,2.4444444444444446,2.0625,1.9047619047619047,1.5067567567567568,1.9130434782608696,1.7,1.8020833333333333,1.707070707070707,2.0338983050847457,2.433333333333333,1.788888888888889,1.9212121212121211
pronouns_per_clause,0.75,0.8666666666666667,0.8285714285714286,0.8326848249027238,0.8333333333333334,0.808695652173913,0.6760925449871465,0.64375,0.6844444444444444,0.831858407079646,0.8990825688073395,0.7217194570135747,0.6280417149478563,0.654320987654321,0.7160751565762005,0.7017543859649122,0.7852941176470588,0.54,0.5475113122171946,0.5961538461538461,0.36538461538461536,0.6122448979591837,0.7191780821917808,0.583710407239819,0.5555555555555556,0.5719063545150501,0.7338129496402878,0.5868131868131868,0.7733333333333333,0.5781637717121588,0.6844106463878327,0.6739130434782609,0.4965277777777778,0.6822429906542056,1.0606060606060606,0.6089887640449438,0.5643939393939394,0.726027397260274,0.6899563318777293,0.6375,0.6624203821656051,0.8481012658227848,0.6490566037735849,0.7231833910034602,0.7163461538461539,0.6055555555555555,0.7464114832535885,0.6489028213166145,0.6640316205533597,0.8,0.7542857142857143,0.6648199445983379,0.5822454308093995,0.7521367521367521,0.757085020242915,0.7792792792792793,0.6236162361623616,0.7476635514018691,0.7398648648648649,0.805,0.8191214470284238
pronoun_prop_of_leaf_nps,0.31486880466472306,0.35135135135135137,0.31385281385281383,0.3715277777777778,0.2697841726618705,0.3152542372881356,0.3207317073170732,0.2781278127812781,0.2,0.3443223443223443,0.3356164383561644,0.3426423200859291,0.24828218048557033,0.26044226044226043,0.29266211604095566,0.30303030303030304,0.33126550868486354,0.24107142857142858,0.2722159730033746,0.34065934065934067,0.2122905027932961,0.30405405405405406,0.28688524590163933,0.20941558441558442,0.25,0.22007722007722008,0.23129251700680273,0.24976613657623947,0.3411764705882353,0.23921971252566734,0.29900332225913623,0.36470588235294116,0.21519939804364183,0.3333333333333333,0.43640897755610975,0.288604898828541,0.28681424446583254,0.24491682070240295,0.3067961165048544,0.30297029702970296,0.27296587926509186,0.40606060606060607,0.2805872756933116,0.28907330567081607,0.3117154811715481,0.2970027247956403,0.34743875278396436,0.3344103392568659,0.33532934131736525,0.4217252396166134,0.38653001464128844,0.3256445047489824,0.3338323353293413,0.37130801687763715,0.313758389261745,0.35234215885947046,0.26825396825396824,0.3614457831325301,0.3680672268907563,0.3870192307692308,0.3937888198757764
avg_num_np_modifiers,5.101851851851852,4.111111111111111,7.4387895460797795,3.630434782608696,7.329670329670329,3.616252821670429,3.2985581000848176,3.7075413856529735,4.283458021612635,4.310185185185185,3.7755102040816326,3.721146953405018,3.944626376897886,4.059011164274322,3.874717832957111,3.5697115384615383,4.009630818619582,3.6159203980099504,2.9385474860335195,2.943548387096774,2.960159362549801,3.194508009153318,5.095602294455067,4.679918450560653,4.688741721854305,3.05726872246696,4.252906976744186,3.5217665615141955,3.8698979591836733,3.609640190088255,3.0820451843043997,3.886543535620053,4.1962890625,5.1321044546851,4.51423487544484,2.9230177059276365,2.9567275185936444,3.4705882352941178,3.429144385026738,3.173620457604307,3.1610017889087656,3.0495495495495497,3.096045197740113,2.9107485604606524,2.802941176470588,3.2928709055876686,2.5309882747068677,2.6801909307875893,2.9397417503586802,3.513953488372093,2.918259023354565,3.439842209072978,2.660958904109589,3.071090047393365,3.067146282973621,2.5895865237366005,2.597254004576659,3.0615384615384613,3.0469879518072287,2.8998211091234345,2.6352611940298507
parataxis_per_sent_strict,0.0,0.0,0.0975609756097561,0.6,0.3333333333333333,0.0,0.0975609756097561,0.15267175572519084,0.3157894736842105,0.0,0.1935483870967742,0.29591836734693877,0.06542056074766354,0.0,0.058823529411764705,0.09090909090909091,0.11320754716981132,0.0,0.043478260869565216,0.11764705882352941,0.14814814814814814,0.05,0.09302325581395349,0.0,0.14285714285714285,0.018018018018018018,0.08888888888888889,0.050955414012738856,0.034482758620689655,0.07633587786259542,0.1,0.06060606060606061,0.025157232704402517,0.10294117647058823,0.03389830508474576,0.25333333333333335,0.1116751269035533,0.06779661016949153,0.20930232558139536,0.14432989690721648,0.0,0.23076923076923078,0.01694915254237288,0.047619047619047616,0.13043478260869565,0.18867924528301888,0.02040816326530612,0.0761904761904762,0.02857142857142857,0.09259259259259259,0.1484375,0.1746031746031746,0.16891891891891891,0.021739130434782608,0.03636363636363636,0.1875,0.12121212121212122,0.059322033898305086,0.08888888888888889,0.17777777777777778,0.18181818181818182
parataxis_per_sent_loose,0.6521739130434783,0.0,0.4634146341463415,1.3555555555555556,0.5714285714285714,0.5151515151515151,0.5203252032520326,0.5572519083969466,0.4473684210526316,0.28,0.45161290322580644,1.0408163265306123,0.514018691588785,0.5348837209302325,0.477124183006536,1.0454545454545454,0.3867924528301887,0.42696629213483145,0.5362318840579711,0.35294117647058826,0.7407407407407407,0.675,0.46511627906976744,0.3559322033898305,0.6428571428571429,0.36936936936936937,0.4444444444444444,0.4012738853503185,0.41379310344827586,0.6335877862595419,0.53,0.9696969696969697,0.4968553459119497,0.36764705882352944,0.2542372881355932,0.76,0.26903553299492383,0.1807909604519774,0.4418604651162791,0.29896907216494845,0.11428571428571428,0.5769230769230769,0.07627118644067797,0.23809523809523808,0.3804347826086957,0.3018867924528302,0.15306122448979592,0.20952380952380953,0.18571428571428572,0.6481481481481481,0.375,0.5158730158730159,0.5,0.29347826086956524,0.19090909090909092,0.34375,0.6161616161616161,0.3305084745762712,0.4222222222222222,0.5111111111111111,0.34545454545454546
