,date,year,pres_name,byline,title,benepar_analysis_time,spacy_analysis_time,tree_edit_distance_time,total_file_analysis_time,num_tokens,num_sentences,avg_tree_edit_dist_adjacent,avg_node_depth,max_node_depth,avg_node_clause_depth,max_node_clause_depth,avg_max_clause_depth,avg_clause_length,clauses_per_sent,sbars_per_sent,sbars_by_parataxis,pronouns_per_sent,pronouns_per_clause,pronouns_by_parataxis,pronoun_prop_of_leaf_nps,avg_np_length,avg_words_before_np_root,loose_parataxis_per_sent,root_parataxis_per_sent_strict,root_parataxis_per_sent_loose,num_unk,num_words,avg_dependency_distance,max_dependency_distance,avg_sentence_length_by_tok,avg_sentence_length_by_word,avg_paratctic_clause_len_by_word,avg_words_before_root,num_uniq_words,proportion_uniq,stop_words_per_clause,stop_words_per_sentence,stop_words_by_parataxis,avg_aoa_min,avg_aoa_uniq_min,avg_stopless_aoa_min,avg_stopless_aoa_uniq_min,avg_word_freq,avg_word_freq_uniq,avg_word_freq_stopless,avg_word_freq_stopless_uniq
1833_Jackson_Inaugural_Address,1833-03-04,1833,Andrew Jackson,7th President of the United States: 1829 ‐ 1837,Inaugural Address,0.11251909998827614,0.44024469998839777,8.838151600008132,21.07185569999274,1275,31,75.3,8.926274509803921,24,1.7349019607843137,6,2.3870967741935485,41.07339449541284,3.5161290322580645,1.1290322580645162,35,3.161290322580645,0.8990825688073395,2.8,0.34385964912280703,3.8364055299539173,0.7258064516129032,1.2258064516129032,1.064516129032258,1.1290322580645162,3,1177,2.7068819031435853,38,41.12903225806452,37.96774193548387,33.628571428571426,10.193548387096774,470,0.40102389078498296,6.339449541284404,22.29032258064516,19.742857142857144,6.025178012422359,7.621755304545454,8.180284434589803,8.465216139817631,6752.905741216794,1019.9014503849264,124.00086505190313,85.7702028788394
1837_Buren_Inaugural_Address,1837-03-04,1837,Martin van Buren,8th President of the United States: 1837 ‐ 1841,Inaugural Address,0.03178720000141766,0.08328639999672305,25.13380299998971,65.33307039999636,4181,98,88.63917525773196,8.512556804592203,31,1.801243721597704,7,2.683673469387755,38.5,4.510204081632653,1.5408163265306123,137,3.2551020408163267,0.7217194570135747,2.3284671532846715,0.3524861878453039,3.7918188458729,0.7852447041636231,1.6020408163265305,1.1326530612244898,1.3979591836734695,2,3846,2.9430577223088923,53,42.66326530612245,39.244897959183675,28.072992700729927,12.53061224489796,1246,0.32507174536916256,4.923076923076923,22.20408163265306,15.883211678832117,6.180949103991311,8.226514832898177,8.370111858508603,8.648848433299905,6210.949316059144,426.9292677070829,95.72867691649127,65.2334108784757
1841_Harrison_Inaugural_Address,1841-03-04,1841,William Henry Harrison,9th President of the United States: 1841 ‐ 1841,Inaugural Address,0.10949970000365283,0.23927619999449234,59.342688100005034,143.16513110000233,9176,214,88.36150234741784,9.877397558849172,49,2.0170008718395813,8,2.705607476635514,43.03128621089223,4.0327102803738315,1.5186915887850467,249,2.532710280373832,0.6280417149478563,2.176706827309237,0.2571157495256167,4.034713763702801,0.7265529841656516,1.2616822429906542,1.014018691588785,1.1635514018691588,30,8468,3.0611714690599907,120,42.87850467289719,39.570093457943926,34.00803212851405,11.509345794392523,1793,0.2129200807505047,5.9837775202781,24.130841121495326,20.73895582329317,6.026499089727874,8.331325043949432,8.300542257033246,8.682300685347743,7077.328868319375,350.2695183096072,101.11687021245841,62.97577559494689
1841_Tyler_Address_Upon_Assuming_the_Office,1841-04-09,1841,John Tyler,10th President of the United States: 1841 ‐ 1845,Address Upon Assuming the Office of President of the United States,0.008648300005006604,0.04475070000626147,11.690652699995553,28.31274310000299,1816,43,87.23809523809524,9.657488986784141,34,1.9377753303964758,6,2.558139534883721,42.629629629629626,3.7674418604651163,1.302325581395349,49,2.4651162790697674,0.654320987654321,2.163265306122449,0.265,4.104838709677419,0.8403225806451613,1.2790697674418605,1.0,1.1395348837209303,4,1680,2.8666666666666667,63,42.23255813953488,39.06976744186046,34.285714285714285,11.906976744186046,647,0.3862686567164179,5.969135802469136,22.488372093023255,19.73469387755102,6.1111205904821535,7.867756770000001,8.34327145945946,8.536758322245323,7163.136417766144,826.8291538485443,139.45923484336262,116.1400615912369
1845_Polk_Inaugural_Address,1845-03-04,1845,James K. Polk,11th President of the United States: 1845 ‐ 1849,Inaugural Address,0.106652500006021,0.39246689999708906,25.667397500001243,74.15590570001223,5233,153,66.55263157894737,8.572138352761323,29,1.7435505446206765,5,2.3006535947712417,37.06471816283925,3.130718954248366,1.0,174,2.241830065359477,0.7160751565762005,1.971264367816092,0.29930191972076786,3.9324169530355095,0.6323024054982818,1.2091503267973855,1.026143790849673,1.1372549019607843,50,4815,2.711318795430945,57,34.20261437908497,31.470588235294116,27.67241379310345,8.84967320261438,1248,0.2608150470219436,5.810020876826722,18.18954248366013,15.994252873563218,6.137585720348205,8.256688336236932,8.366796872688859,8.693825962075845,6512.054140690905,418.2828970668725,91.34115077482612,62.4001329345298
1849_Taylor_Inaugural_Address,1849-03-05,1849,Zachary Taylor,12th President of the United States: 1849 ‐ 1850,Inaugural Address,0.1581067999941297,0.42906979999679606,8.644971999994596,19.988223000007565,1184,22,106.80952380952381,9.52027027027027,24,2.0219594594594597,5,3.0454545454545454,48.03508771929825,5.181818181818182,1.5909090909090908,31,3.6363636363636362,0.7017543859649122,2.5806451612903225,0.31007751937984496,3.6219512195121952,0.7146341463414634,1.5454545454545454,1.0454545454545454,1.4090909090909092,4,1091,3.2630614115490375,76,53.81818181818182,49.59090909090909,35.193548387096776,11.0,481,0.44087992667277726,5.298245614035087,27.454545454545453,19.483870967741936,6.24918739068441,7.945111710176992,8.492734593952484,8.67797182320442,7373.786685495989,953.7831530075033,101.2573989930001,79.90924221147344
1853_Pierce_Inaugural_Address,1853-03-04,1853,Franklin Pierce,14th President of the United States: 1853 ‐ 1857,Inaugural Address,0.16004040000552777,0.39906960001098923,19.25324879999971,51.94783170000301,3662,106,67.07619047619048,8.889677771709449,32,1.7987438558164937,6,2.330188679245283,38.002941176470586,3.207547169811321,1.3867924528301887,120,2.518867924528302,0.7852941176470588,2.225,0.336272040302267,4.048622366288493,0.8435980551053485,1.179245283018868,1.028301886792453,1.1320754716981132,8,3348,2.8635005973715653,64,34.54716981132076,31.58490566037736,27.9,8.415094339622641,1112,0.3330338424678047,5.673529411764706,18.19811320754717,16.075,6.115106975435326,8.118786981677918,8.273302053851904,8.590320116853935,6302.442145959673,513.26124093473,138.62116695357665,78.31630930799524
1857_Buchanan_Inaugural_Address,1857-03-04,1857,James Buchanan,15th President of the United States: 1857 ‐ 1861,Inaugural Address,0.039521599988802336,0.14323919999878854,15.113656000001356,42.55448019999312,3106,89,66.88636363636364,8.907920154539601,27,1.9133934320669672,6,2.4719101123595504,37.56,3.3707865168539324,1.1573033707865168,100,1.8202247191011236,0.54,1.62,0.25,3.7043832823649336,0.6809378185524975,1.1797752808988764,1.0,1.1235955056179776,20,2836,2.8469675599435824,46,34.89887640449438,31.865168539325843,28.36,7.078651685393258,887,0.3132062146892655,5.3933333333333335,18.179775280898877,16.18,6.086199347283407,7.864188230303028,8.073936680869563,8.357485533527697,6508.819478835044,579.4671306520333,111.5489710335001,73.7127316680097
1861_Lincoln_Inaugural_Address,1861-03-04,1861,Abraham Lincoln,16th President of the United States: 1861 ‐ 1865,Inaugural Address,0.06550979999883566,0.22592080000322312,17.26083450000442,49.949244900009944,4052,138,59.40875912408759,7.663869693978282,33,1.6475814412635736,9,2.210144927536232,31.728506787330318,3.2028985507246377,1.173913043478261,167,1.7536231884057971,0.5475113122171946,1.4491017964071857,0.281068524970964,3.005714285714286,0.5502040816326531,1.2608695652173914,1.0144927536231885,1.210144927536232,52,3639,2.937895026106073,112,29.36231884057971,26.369565217391305,21.790419161676645,8.253623188405797,999,0.2765015222806532,5.029411764705882,16.108695652173914,13.311377245508982,5.946204333712334,7.854583900321547,8.107716698269376,8.396028919480516,6741.697522335821,579.7066802305864,138.23748525198047,79.03563301863952
1865_Johnson_Address_Upon_Assuming_the_Office,1865-04-17,1865,Andrew Johnson,17th President of the United States: 1865 ‐ 1869,Address Upon Assuming the Office of President of the United States,0.049590800001169555,0.1764136999991024,1.2088082999980543,5.041701000009198,393,17,45.8125,8.358778625954198,20,1.8091603053435115,4,2.235294117647059,27.692307692307693,3.0588235294117645,1.1764705882352942,20,1.8235294117647058,0.5961538461538461,1.55,0.3522727272727273,3.0165289256198347,0.39669421487603307,1.1764705882352942,1.0588235294117647,1.1764705882352942,0,361,2.260387811634349,21,23.11764705882353,21.235294117647058,18.05,6.235294117647059,168,0.46537396121883656,4.25,13.0,11.05,5.768395176638176,6.911736512499999,7.836499619402985,8.052717609523809,7699.860239651416,2234.8218856404833,232.2484593837535,218.50397456279805
1865_Lincoln_Inaugural_Address,1865-03-04,1865,Abraham Lincoln,16th President of the United States: 1861 ‐ 1865,Inaugural Address,0.15039969999634195,0.30340740000247024,3.6446443000022555,10.95865309999499,784,27,60.73076923076923,8.479591836734693,26,2.0191326530612246,5,2.2962962962962963,31.48076923076923,3.8518518518518516,1.4074074074074074,33,1.4074074074074074,0.36538461538461536,1.1515151515151516,0.2331288343558282,3.1617021276595745,0.8808510638297873,1.4444444444444444,1.0740740740740742,1.2222222222222223,4,705,3.0368794326241133,63,29.037037037037038,26.11111111111111,21.363636363636363,12.0,325,0.46965317919075145,4.0576923076923075,15.62962962962963,12.787878787878787,5.83716623668639,6.992965262458472,7.564817240601505,7.851176059405941,6247.103977591036,1252.3639895586716,223.97844527882077,146.52239611440905
1869_Grant_Inaugural_Address,1869-03-04,1869,Ulysses S. Grant,18th President of the United States: 1869 ‐ 1877,Inaugural Address,0.09627299998828676,0.24319090000062715,5.919656999991275,17.518222500002594,1238,40,61.41025641025641,7.918416801292407,22,1.697092084006462,5,2.425,31.482993197278912,3.675,1.175,49,2.25,0.6122448979591837,1.836734693877551,0.3157894736842105,3.276995305164319,0.6314553990610329,1.325,1.025,1.225,0,1132,2.7491166077738516,41,30.95,28.3,23.102040816326532,8.05,460,0.4110813226094727,4.537414965986395,16.675,13.612244897959183,5.978910920256643,7.560835260273972,8.033681824719103,8.302754895833331,6868.040869989205,984.8678414096916,130.89684569479965,118.96996844714894
1873_Grant_Inaugural_Address,1873-03-04,1873,Ulysses S. Grant,18th President of the United States: 1869 ‐ 1877,Inaugural Address,0.13997309999831486,0.3464395000046352,7.674224200003664,22.023090200003935,1477,43,73.42857142857143,11.272850372376439,71,1.7610020311442112,6,2.372093023255814,35.99315068493151,3.395348837209302,1.069767441860465,51,2.441860465116279,0.7191780821917808,2.0588235294117645,0.29411764705882354,5.184824902723736,0.5700389105058365,1.2093023255813953,1.0232558139534884,1.186046511627907,0,1341,2.722595078299776,160,34.348837209302324,31.186046511627907,26.294117647058822,6.604651162790698,513,0.38687782805429866,5.527397260273973,18.767441860465116,15.823529411764707,5.803908741711641,7.281048829918033,7.8096395807086605,7.95389134231806,7140.593934561778,925.6083856467485,150.4448951994591,112.38278810218604
1877_Hayes_Inaugural_Address,1877-03-05,1877,Rutherford B. Hayes,19th President of the United States: 1877 ‐ 1881,Inaugural Address,0.24634430000151042,0.5852760999987368,18.450241099999403,45.1141908000136,2724,59,88.43103448275862,10.160058737151248,35,2.0157856093979443,9,2.7966101694915255,46.86425339366516,3.7457627118644066,1.576271186440678,65,2.1864406779661016,0.583710407239819,1.9846153846153847,0.21357615894039736,4.737874097007224,0.936016511867905,1.1355932203389831,1.0,1.1016949152542372,4,2490,3.144578313253012,76,46.16949152542373,42.20338983050848,38.30769230769231,13.016949152542374,795,0.320952765442067,6.339366515837104,23.74576271186441,21.553846153846155,6.099673800334168,7.877407719298245,8.173999458536587,8.393387959481363,7079.666706198609,649.9397314198867,102.75658289265661,79.05619320899093
1881_Arthur_Address_Upon_Assuming_the_Office,1881-09-22,1881,Chester A. Arthur,21st President of the United States: 1881 ‐ 1885,Address Upon Assuming the Office of President of the United States,0.05841540000983514,0.215072400009376,2.1872854999965057,7.085852300006081,476,14,72.61538461538461,7.607142857142857,18,1.5525210084033614,4,2.0,31.488888888888887,3.2142857142857144,0.7142857142857143,18,1.7857142857142858,0.5555555555555556,1.3888888888888888,0.25510204081632654,4.751677852348993,1.651006711409396,1.2857142857142858,1.0714285714285714,1.2857142857142858,0,433,2.7829099307159355,59,34.0,30.928571428571427,24.055555555555557,12.0,242,0.5627906976744186,5.022222222222222,16.142857142857142,12.555555555555555,6.305499002398082,7.64687618584071,8.331996678571429,8.535137105263157,6709.252986776108,1343.4301419312499,99.74653979238755,64.75232774674114
1881_Garfield_Inaugural_Address,1881-03-04,1881,James A. Garfield,20th President of the United States: 1881 ‐ 1881,Inaugural Address,0.09759079999639653,0.25211610000405926,13.244239399995422,41.68874949999736,3239,111,53.945454545454545,7.58196974374807,22,1.5906143871565297,5,2.18018018018018,33.19397993311037,2.6936936936936937,0.8378378378378378,125,1.5405405405405406,0.5719063545150501,1.368,0.22440944881889763,3.0982142857142856,0.5410714285714285,1.1801801801801801,1.009009009009009,1.1261261261261262,8,2991,2.5650284185891006,56,29.18018018018018,26.945945945945947,23.928,7.306306306306307,957,0.32222222222222224,5.632107023411371,15.17117117117117,13.472,6.0283322041666665,7.750348363134658,7.914049621794875,8.16970940909091,6848.3190430950335,546.2317177135967,115.28065531876052,76.42970379641217
1885_Cleveland_Inaugural_Address,1885-03-04,1885,Grover Cleveland,22nd President of the United States: 1885 ‐ 1889,Inaugural Address,0.08300929999677464,0.24604859999089967,10.9643575999944,27.391643299997668,1828,45,75.27272727272727,9.157002188183807,27,1.7303063457330417,5,2.1333333333333333,43.23741007194245,3.088888888888889,1.2666666666666666,54,2.2666666666666666,0.7338129496402878,1.8888888888888888,0.23943661971830985,4.354166666666667,0.7946428571428571,1.2222222222222223,1.0666666666666667,1.2,5,1690,2.891715976331361,56,40.62222222222222,37.55555555555556,31.296296296296298,9.933333333333334,643,0.3809241706161137,6.76978417266187,20.91111111111111,17.425925925925927,6.218924224201475,8.006973543046357,8.43665463061798,8.637695791999999,7143.093353431956,782.3694823901128,135.3834658187599,85.13534285607166
1889_Harrison_Inaugural_Address,1889-03-04,1889,Benjamin Harrison,23rd President of the United States: 1889 ‐ 1893,Inaugural Address,0.08942130001378246,0.31281390000367537,19.728908999997657,62.15081989999453,4747,157,58.256410256410255,8.080050558247313,23,1.6918053507478408,5,2.1337579617834397,34.24835164835165,2.8980891719745223,0.9745222929936306,179,1.7006369426751593,0.5868131868131868,1.4916201117318435,0.25897187196896215,3.608274078862314,0.5882352941176471,1.2101910828025477,1.019108280254777,1.1401273885350318,2,4401,2.677573278800273,70,30.235668789808916,28.03184713375796,24.58659217877095,7.649681528662421,1287,0.2936344969199179,5.476923076923077,15.872611464968152,13.921787709497206,6.08249804853676,8.03255685726281,8.06729996426577,8.43595906647399,6281.725122436897,419.0839296224016,119.51937887681603,72.47853447816118
1893_Cleveland_Inaugural_Address,1893-03-04,1893,Grover Cleveland,24th President of the United States: 1893 ‐ 1897,Inaugural Address,0.057946399989305064,0.2821869000035804,11.431263699996634,30.80593719999888,2144,58,66.2280701754386,8.805970149253731,28,1.861473880597015,5,2.6379310344827585,35.33777777777778,3.8793103448275863,1.6896551724137931,68,3.0,0.7733333333333333,2.5588235294117645,0.348,3.9198966408268734,0.8152454780361758,1.1724137931034482,1.0,1.1724137931034482,0,2028,2.5961538461538463,48,36.96551724137931,34.96551724137931,29.823529411764707,10.413793103448276,793,0.3912185495806611,4.942222222222222,19.17241379310345,16.352941176470587,6.307974928128233,8.299662377537212,8.515087624708626,8.845906228571426,6479.224926188583,586.0023499090357,113.15734418767504,70.77568152828458
1897_McKinley_Inaugural_Address,1897-03-04,1897,William McKinley,25th President of the United States: 1897 ‐ 1901,Inaugural Address,0.045247600006405264,0.13028130000748206,21.299215399994864,59.958697099995334,4381,131,64.67692307692307,8.466788404473865,25,1.7331659438484364,6,2.213740458015267,37.69230769230769,3.0763358778625953,0.9618320610687023,165,1.7786259541984732,0.5781637717121588,1.412121212121212,0.24397905759162303,3.656808803301238,0.6808803301237965,1.3129770992366412,1.0381679389312977,1.2595419847328244,10,3981,2.839989952273298,85,33.44274809160305,30.389312977099237,24.12727272727273,6.67175572519084,1175,0.296867104598282,5.66501240694789,17.427480916030536,13.836363636363636,6.175375555263848,8.184379460550456,8.317980966708545,8.623755118085107,6459.825355123124,429.7535447541014,117.62383286647987,70.06630624277682
1901_McKinley_Inaugural_Address,1901-03-04,1901,William McKinley,25th President of the United States: 1897 ‐ 1901,Inaugural Address,0.040944299995317124,0.10484800000267569,9.972368799994001,32.62350329999754,2457,100,48.55555555555556,7.677655677655678,27,1.5954415954415955,6,1.92,30.745247148288975,2.63,0.7,120,1.8,0.6844106463878327,1.5,0.30456852791878175,3.1228915662650603,0.5771084337349398,1.27,1.03,1.2,12,2225,2.519550561797753,55,24.57,22.25,18.541666666666668,5.78,803,0.36334841628959275,4.79467680608365,12.61,10.508333333333333,6.147110128802281,7.881121227091631,8.212019596864499,8.414852533333333,6392.2148923263585,641.5396018636171,109.5186671683599,81.05735668313132
1905_Roosevelt_Inaugural_Address,1905-03-04,1905,Theodore Roosevelt,26th President of the United States: 1901 ‐ 1909,Inaugural Address,0.14840749998984393,0.3889110000018263,4.393451500000083,14.551075600000331,1093,33,66.875,8.534309240622141,27,1.685269899359561,5,2.515151515151515,31.1231884057971,4.181818181818182,1.696969696969697,47,2.8181818181818183,0.6739130434782609,1.9787234042553192,0.372,3.9385026737967914,0.6336898395721925,1.4848484848484849,1.0303030303030303,1.4242424242424243,0,991,2.772956609485368,55,33.121212121212125,30.03030303030303,21.085106382978722,7.03030303030303,382,0.38585858585858585,4.413043478260869,18.454545454545453,12.957446808510639,5.672953801470589,6.871514336158192,7.273179515320334,7.5046633568627445,5895.8266913256175,999.0170593436311,201.2792302106027,157.41377576671692
1909_Taft_Inaugural_Address,1909-03-04,1909,William Howard Taft,27th President of the United States: 1909 ‐ 1913,Inaugural Address,0.11965940000663977,0.3267656999960309,31.442115300000296,84.20950050000101,5846,159,74.54430379746836,9.34433800889497,32,1.8258638385220665,7,2.5283018867924527,38.63368055555556,3.6226415094339623,1.1886792452830188,188,1.79874213836478,0.4965277777777778,1.5212765957446808,0.22067901234567902,4.265012406947891,0.6501240694789082,1.2389937106918238,1.0062893081761006,1.1823899371069182,4,5444,2.8378030859662013,64,36.76729559748428,34.23899371069182,28.95744680851064,7.9245283018867925,1363,0.2513832534120251,5.407986111111111,19.59119496855346,16.569148936170212,6.126732009338668,8.065130604361372,8.261212600719425,8.480671042895437,6896.589370408933,408.35579216849953,106.60947358588308,68.70035665846184
1913_Wilson_Inaugural_Address,1913-03-04,1913,Woodrow Wilson,28th President of the United States: 1913 ‐ 1921,Inaugural Address,0.029746200001682155,0.07582759999786504,8.622839999996359,25.981844299996737,1903,68,65.40298507462687,10.286389910667367,49,2.088281660535996,7,2.235294117647059,36.200934579439256,3.1470588235294117,1.0294117647058822,77,2.1470588235294117,0.6822429906542056,1.896103896103896,0.34679334916864607,5.269716088328075,0.8517350157728707,1.1764705882352942,1.0588235294117647,1.1323529411764706,2,1712,2.7330607476635516,104,27.985294117647058,25.176470588235293,22.233766233766232,4.264705882352941,621,0.36422287390029323,4.714953271028038,14.838235294117647,13.103896103896103,5.70747524368231,7.174339010135135,7.3272572202643165,7.723482666666667,5994.214232131935,818.2390747148535,229.80856997971603,155.1721674176917
