,date,year,pres_name,byline,title,benepar_analysis_time,spacy_analysis_time,tree_edit_distance_time,total_file_analysis_time,num_tokens,num_sentences,avg_tree_edit_dist_adjacent,avg_node_depth,max_node_depth,avg_node_clause_depth,max_node_clause_depth,avg_max_clause_depth,avg_clause_length,clauses_per_sent,sbars_per_sent,pronouns_per_sent,pronouns_per_clause,pronoun_prop_of_leaf_nps,avg_num_np_modifiers,loose_parataxis_per_sent,root_parataxis_per_sent_strict,root_parataxis_per_sent_loose,num_unk,num_words,avg_dependency_distance,max_dependency_distance,avg_sentence_length_by_tok,avg_sentence_length_by_word,avg_words_before_root,num_uniq_words,proportion_uniq,stop_words_per_clause,stop_words_per_sentence,avg_aoa_min,avg_aoa_uniq_min,avg_stopless_aoa_min,avg_stopless_aoa_uniq_min,avg_word_freq,avg_word_freq_uniq,avg_word_freq_stopless,avg_word_freq_stopless_uniq
1789_Washington_Inaugural_Address,1789-04-30,1789,George Washington,1st President of the United States: 1789 ‐ 1797,Inaugural Address,0.005472599994391203,0.21633970004040748,7.325971700018272,17.918191799893975,1546,23,138.22727272727272,12.68111254851229,50,2.4573091849935316,8,3.5652173913043477,55.31944444444444,6.260869565217392,3.3043478260869565,4.695652173913044,0.75,0.31486880466472306,5.101851851851852,1.391304347826087,1.0,1.173913043478261,2,1434,3.5564853556485354,82,67.21739130434783,62.34782608695652,13.478260869565217,593,0.4158485273492286,5.923611111111111,37.08695652173913,6.201091344250365,8.117487323792485,8.61668662,8.836811844943819,6791.014007567938,835.0980727333671,94.66447278211983,76.63835837365247
1793_Washington_Inaugural_Address,1793-03-04,1793,George Washington,1st President of the United States: 1789 ‐ 1797,Inaugural Address,0.0026328000240027905,0.17852399998810142,0.21093959989957511,0.9360324000008404,147,4,79.0,9.061224489795919,23,1.6598639455782314,4,2.5,30.8,3.75,2.25,3.25,0.8666666666666667,0.35135135135135137,4.111111111111111,1.0,1.0,1.0,0,135,3.066666666666667,46,36.75,33.75,16.5,90,0.6666666666666666,5.266666666666667,19.75,6.050308873015872,6.915938049382717,8.5754675,8.522199468085105,8143.489025460932,2832.0169640890063,78.1005347593583,75.29638009049775
